"id","code","name"
"statistical_class_K1231","K1231","Títulos de dívida com prazo > 1 ano detidos, de entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_K2111","K2111","Títulos de dívida próprios com prazo <= 1 ano, transacionados com entidades sem relação de grupo"
"statistical_class_K2121","K2121","Titulos de dívida próprios com prazo <= 1 ano, transacionados com entidades que detêm direitos de voto >=10%"
"statistical_class_K2131","K2131","Títulos de dívida próprios com prazo <= 1 ano, detidos por entidades do grupo com direitos de votos nulos ou <10%"
"statistical_class_K2211","K2211","Títulos de dívida próprios com prazo > 1 ano, tansacionados com entidades sem relação de grupo"
"statistical_class_K2221","K2221","Títulos de dívida próprios com prazo > 1 ano, tansacionados com entidades que detêm direitos de voto >=10%"
"statistical_class_K2231","K2231","Títulos de dívida próprios com prazo > 1 ano, detidos por entidades do grupo com direitos de votos nulos ou <10%"
"statistical_class_L0114","L0114","Juros de empréstimos com prazo <= 1 ano, entre entidades sem relação de grupo"
"statistical_class_L0124","L0124","Juros de empréstimos com prazo <= 1 ano, entre entidades do grupo com direitos de voto >= 10%"
"statistical_class_L0134","L0134","Juros de empréstimos com prazo <= 1 ano, entre entidades do grupo com direitos de voto nulos ou < 10%"
"statistical_class_L0214","L0214","Juros de empréstimos com prazo > 1 ano, entre entidades sem relação de grupo"
"statistical_class_L0224","L0224","Juros de emprestimos com prazo > 1 ano, entre entidades do grupo com direitos de voto >= 10%"
"statistical_class_L0234","L0234","Juros de empréstimos com prazo > 1 ano, entre entidades do grupo com direitos de voto  nulos ou < 10%"
"statistical_class_L1111","L1111","Empréstimos com prazo <= 1 ano, concedidos a entidades sem relação de grupo"
"statistical_class_L1121","L1121","Empréstimos com prazo <= 1 ano, concedidos a entidades onde os direitos de voto sejam >=10%"
"statistical_class_L1131","L1131","Empréstimos com prazo <= 1 ano, concedidos a entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_L1211","L1211","Empréstimos com prazo > 1 ano,concedidos a entidades sem relação de grupo"
"statistical_class_L1221","L1221","Empréstimos com prazo > 1 ano, concedidos a entidades onde os direitos de voto sejam>=10%"
"statistical_class_L1231","L1231","Empréstimos com prazo > 1 ano, concedidos a entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_L2111","L2111","Empréstimos com prazo <= 1 ano, obtidos de entidades sem relação de grupo"
"statistical_class_L2121","L2121","Empréstimos com prazo <= 1 ano, obtidos de entidades onde os direitos de voto sejam >=10%"
"statistical_class_L2131","L2131","Empréstimos com prazo <= 1 ano, obtidos de entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_L2211","L2211","Empréstimos com prazo > 1 ano, obtidos de entidades sem relação de grupo"
"statistical_class_L2221","L2221","Empréstimos com prazo > 1 ano, obtidos de entidades onde os direitos de voto sejam >=10%"
"statistical_class_L2231","L2231","Empréstimos com prazo > 1 ano, obtidos de entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_M0104","M0104","Juros de empréstimos, com prazo <= 1 ano, concedidos a entidades nao residentes considerados incobráveis e/ou vencidos e não reembolsados"
"statistical_class_M0204","M0204","Juros de empréstimos, com prazo > 1 ano, concedidos a entidades não residentes considerados incobráveis e/ou vencidos e não reembolsados"
"statistical_class_M1101","M1101","Empréstimos, com prazo <= 1 ano, concedidos a entidades não residentes considerados incobráveis e/ou vencidos e não reembolsados"
"statistical_class_M1201","M1201","Empréstimos, com prazo > 1 ano, concedidos a entidades não residentes considerados incobráveis e/ou vencidos e não reembolsados"
"statistical_class_N1011","N1011","Créditos comerciais concedidos a entidades sem relação de grupo"
"statistical_class_N1021","N1021","Créditos comerciais concedidos a entidades onde os direitos de voto sejam >=10%"
"statistical_class_N1031","N1031","Créditos comerciais concedidos a entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_N2011","N2011","Créditos comerciais obtidos de entidades sem relação de grupo"
"statistical_class_N2021","N2021","Créditos comerciais obtidos de entidades onde os direitos de voto sejam >=10%"
"statistical_class_N2031","N2031","Créditos comerciais obtidos por entidades residentes numa relação de grupo com direitos de voto nulos ou < 10%"
"statistical_class_O0104","O0104","Juros de depósitos e aplicações, com prazo <= 1 ano"
"statistical_class_O0204","O0204","Juros de depósitos e aplicações, com prazo > 1 ano"
"statistical_class_O1101","O1101","Depósitos e aplicações no exterior por residentes, com prazo <= 1 ano"
"statistical_class_O1201","O1201","Depósitos e aplicações no exterior por residentes, com prazo > 1 ano"
"statistical_class_O2101","O2101","Depósitos e aplicações em Portugal por não residentes, com prazo <= 1 ano"
"statistical_class_O2201","O2201","Depósitos e aplicações em Portugal por não residentes, com prazo > 1 ano"
"statistical_class_P1001","P1001","Contas margem reembolsáveis constituídas no exterior por residentes"
"statistical_class_P2001","P2001","Contas margem reembolsáveis constituídas em Portugal por não residentes"
"statistical_class_Q0004","Q0004","Rendimentos de outras operações de investimento"
"statistical_class_Q1001","Q1001","Outras formas de participação no capital de entidades não residentes"
"statistical_class_Q1011","Q1011","Outras disponibilidades face a entidades sem relação de grupo"
"statistical_class_Q1021","Q1021","Outras disponibilidades face a entidades onde os direitos de voto sejam >= 10%"
"statistical_class_Q1031","Q1031","Outras disponibilidades face a entidades do grupo onde os direitos de voto sejam nulos ou < 10%"
"statistical_class_Q2001","Q2001","Outras formas de participação no capital de entidades residentes"
"statistical_class_Q2011","Q2011","Outras responsabilidades sobre entidades sem relação de grupo"
"statistical_class_Q2021","Q2021","Outras responsabilidades sobre entidades onde os direitos de voto sejam >= 10%"
"statistical_class_Q2031","Q2031","Outras responsabilidades sobre entidades do grupo onde os direitos de voto sejam nulos ou < 10%"
"statistical_class_R1010","R1010","Derivados financeiros"
"statistical_class_R1020","R1020","Opções sobre ações concedidas a empregados (employee stock options)"
"statistical_class_R1030","R1030","Opções sobre ações concedidas a fornecedores"
"statistical_class_Z1020","Z1020","Transferências entre contas de residentes, no estrangeiro e em Portugal"
"statistical_class_Z1030","Z1030","Transferências entre contas de residentes, no estrangeiro"
"statistical_class_Z1040","Z1040","Liquidação de saldos de compensação ('conta corrente')"
"statistical_class_Z1050","Z1050","Liquidação de operações compensadas"
