"id","name","code_prefix_start","code_prefix_end"
"pt_ag_6226213","Conservação e Reparação - Mercado Intracomunitário - VLPM - Sujeito a Tributação Autónoma (32%)","6226213","6226213"
"pt_ag_6226214","Conservação e Reparação - Mercado Intracomunitário - VLPM - Sujeito a Tributação Autónoma (0%)","6226214","6226214"
"pt_ag_622622","Conservação e Reparação - Mercado Intracomunitário - Viaturas Ligeiras de Passageiros Híbridas Plug-in","622622","622622"
"pt_ag_6226221","Conservação e Reparação - Mercado Intracomunitário - VLPHP - Sujeito a Tributação Autónoma (2,5%)","6226221","6226221"
"pt_ag_6226222","Conservação e Reparação - Mercado Intracomunitário - VLPHP - Sujeito a Tributação Autónoma (7,5%)","6226222","6226222"
"pt_ag_6226223","Conservação e Reparação - Mercado Intracomunitário - VLPHP - Sujeito a Tributação Autónoma (15%)","6226223","6226223"
"pt_ag_6226224","Conservação e Reparação - Mercado Intracomunitário - VLPHP - Sujeito a Tributação Autónoma (0%)","6226224","6226224"
"pt_ag_622623","Conservação e Reparação - Mercado Intracomunitário - Viaturas Ligeiras de Passageiros movidas a GPL ou GNV","622623","622623"
"pt_ag_6226231","Conservação e Reparação - Mercado Intracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (2,5%)","6226231","6226231"
"pt_ag_6226232","Conservação e Reparação - Mercado Intracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (7,5%)","6226232","6226232"
"pt_ag_6226233","Conservação e Reparação - Mercado Intracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (15%)","6226233","6226233"
"pt_ag_6226234","Conservação e Reparação - Mercado Intracomunitário - GPL ou GNV - Sujeito a Tributação Autónoma (0%)","6226234","6226234"
"pt_ag_622624","Conservação e Reparação - Mercado Intracomunitário - Viaturas Ligeiras de Passageiros movidas exclusivamente a Energia Elétrica","622624","622624"
"pt_ag_6226241","Conservação e Reparação - Mercado Intracomunitário - Energia Elétrica - Sujeito a Tributação Autónoma (10%)","6226241","6226241"
"pt_ag_6226242","Conservação e Reparação - Mercado Intracomunitário - Energia Elétrica - Sujeito a Tributação Autónoma (0%)","6226242","6226242"
"pt_ag_62263","Conservação e Reparação - Mercado Extracomunitário","62263","62263"
"pt_ag_622631","Conservação e Reparação - Mercado Extracomunitário - Viaturas Ligeiras de Passageiros e de Mercadorias","622631","622631"
"pt_ag_6226311","Conservação e Reparação - Mercado Extracomunitário - VLPM - Sujeito a Tributação Autónoma (8%)","6226311","6226311"
"pt_ag_6226312","Conservação e Reparação - Mercado Extracomunitário - VLPM - Sujeito a Tributação Autónoma (25%)","6226312","6226312"
"pt_ag_6226313","Conservação e Reparação - Mercado Extracomunitário - VLPM - Sujeito a Tributação Autónoma (32%)","6226313","6226313"
"pt_ag_6226314","Conservação e Reparação - Mercado Extracomunitário - VLPM - Sujeito a Tributação Autónoma (0%)","6226314","6226314"
"pt_ag_622632","Conservação e Reparação - Mercado Extracomunitário - Viaturas Ligeiras de Passageiros Híbridas Plug-in","622632","622632"
"pt_ag_6226321","Conservação e Reparação - Mercado Extracomunitário - VLPHP - Sujeito a Tributação Autónoma (2,5%)","6226321","6226321"
